IMDB_Rating,Director,Runtime,Genre,GoodMovie
7.7,Francis Veber,80,Comedy,0
7.9,Wes Anderson,87,"Animation, Adventure, Comedy",0
7.8,Ritesh Batra,104,"Drama, Romance",0
8.8,David Fincher,139,Drama,1
7.8,Abhishek Chaubey,148,"Action, Crime, Drama",0
7.8,Howard Hawks,100,"Adventure, Comedy, Film-Noir",0
7.6,Bennett Miller,133,"Biography, Drama, Sport",0
8.2,Oliver Hirschbiegel,156,"Biography, Drama, History",1
8.6,Masaki Kobayashi,133,"Action, Drama, Mystery",1
8,Otto Preger,161,"Crime, Drama, Mystery",0
7.7,Steven Soderbergh,116,"Crime, Thriller",0
8,David Lean,197,"Drama, Romance, War",0
8,Paul Thomas Anderson,188,Drama,0
7.8,John McTiernan,107,"Action, Adventure, Sci-Fi",0
8,Stephen Chbosky,113,"Drama, Family",0
7.7,Don Siegel,102,"Action, Crime, Thriller",0
7.6,John McTiernan,128,"Action, Adventure, Thriller",0
7.8,Penny Marshall,121,"Biography, Drama",0
7.6,Sean Baker,111,Drama,0
8,Alejandro G. Iñárritu,156,"Action, Adventure, Drama",0
7.8,Gauri Shinde,134,"Comedy, Drama, Family",0
8.2,Lee Unkrich,103,"Animation, Adventure, Comedy",1
7.6,Quentin Tarantino,161,"Comedy, Drama",0
8.5,Tony Kaye,119,Drama,1
7.9,Terry Gilliam,132,"Drama, Sci-Fi",0
7.7,Abdellatif Kechiche,180,"Drama, Romance",0
7.8,John Hughes,103,Comedy,0
7.8,Aaron Sorkin,129,"Drama, History, Thriller",0
7.9,George A. Romero,127,"Action, Adventure, Horror",0
8.5,Ridley Scott,155,"Action, Adventure, Drama",1
7.8,Stanley Kramer,108,"Comedy, Drama",0
8.1,Hayao Miyazaki,117,"Animation, Adventure, Fantasy",1
8.1,Céline Sciamma,122,"Drama, Romance",1
7.9,Christophe Barratier,97,"Drama, Music",0
8.1,Stanley Kubrick,185,"Adventure, Drama, History",1
8.8,Robert Zemeckis,142,"Drama, Romance",1
7.7,Cy Endfield,138,"Drama, History, War",0
8.1,Robert Aldrich,134,"Drama, Horror, Thriller",1
8.2,Pete Docter,96,"Animation, Adventure, Comedy",1
7.9,Franklin J. Schaffner,172,"Biography, Drama, War",0
8.1,Steven Spielberg,141,"Biography, Crime, Drama",1
7.6,Tomm Moore,71,"Animation, Adventure, Family",0
7.6,Chris Columbus,152,"Adventure, Family, Fantasy",0
8.4,Quentin Tarantino,165,"Drama, Western",1
7.6,Denis Villeneuve,121,"Action, Crime, Drama",0
7.9,Alfonso Cuarón,109,"Adventure, Drama, Sci-Fi",0
7.8,Robert Zemeckis,143,"Adventure, Drama, Romance",0
7.7,Christian Carion,116,"Drama, History, Music",0
7.8,Fatih Akin,122,Drama,0
7.7,Anton Corbijn,122,"Biography, Drama, Music",0
7.6,John Lee Hancock,129,"Biography, Drama, Sport",0
7.9,David Lynch,147,"Drama, Mystery, Thriller",0
7.8,Giuseppe Tornatore,131,"Crime, Drama, Mystery",0
7.6,Spike Lee,129,"Crime, Drama, Mystery",0
7.8,Mike Leigh,132,"Comedy, Drama",0
7.8,Tim Burton,127,"Biography, Comedy, Drama",0
7.7,Stephen Daldry,110,"Drama, Music",0
8.2,Akira Kurosawa,110,"Action, Drama, Thriller",1
7.7,Alfonso Cuarón,135,Drama,0
8.1,Frank Capra,105,"Comedy, Romance",1
7.9,Shin'ichirô Watanabe,115,"Animation, Action, Crime",0
8,Billy Bob Thornton,135,Drama,0
8.1,F.W. Murnau,94,"Drama, Romance",1
8.1,Lenny Abrahamson,118,"Drama, Thriller",1
7.9,Taika Waititi,108,"Comedy, Drama, War",0
7.9,Mukesh Chhabra,101,"Comedy, Drama, Romance",0
8,Kevin Costner,181,"Adventure, Drama, Western",0
7.9,Fred Zinnemann,85,"Drama, Thriller, Western",0
8,Katsuhiro Ôtomo,124,"Animation, Action, Sci-Fi",0
8.1,Akira Kurosawa,139,"Adventure, Drama",1
8.1,Akira Kurosawa,110,"Drama, History",1
7.6,Pedro Almodóvar,120,"Drama, Horror, Thriller",0
7.7,Luc Besson,126,"Action, Adventure, Sci-Fi",0
8,William Friedkin,122,Horror,0
7.9,Alfred Hitchcock,102,"Drama, Film-Noir, Romance",0
8.5,Alfred Hitchcock,109,"Horror, Mystery, Thriller",1
7.7,John Ford,129,"Comedy, Drama, Romance",0
8.1,Emir Kusturica,170,"Comedy, Drama, War",1
7.9,Cristian Mungiu,113,Drama,0
7.7,Robert Aldrich,150,"Action, Adventure, War",0
7.8,Robert Stevenson,139,"Comedy, Family, Fantasy",0
8.1,Aditya Chopra,189,"Drama, Romance",1
8.8,Sergio Leone,161,Western,1
7.6,Guy Ritchie,128,"Action, Adventure, Mystery",0
7.6,Ang Lee,136,"Drama, Romance",0
8.1,Mel Gibson,139,"Biography, Drama, History",1
7.9,Tim Burton,105,"Drama, Fantasy, Romance",0
7.9,J.J. Abrams,138,"Action, Adventure, Sci-Fi",0
8,Satoshi Kon,81,"Animation, Crime, Mystery",0
7.8,Josh Cooley,100,"Animation, Adventure, Comedy",0
7.7,Wes Anderson,93,"Comedy, Drama, Romance",0
8.2,Guillermo del Toro,118,"Drama, Fantasy, War",1
7.7,Matthew Vaughn,131,"Action, Adventure, Sci-Fi",0
8.3,David Lean,228,"Adventure, Biography, Drama",1
7.9,Fatih Akin,121,"Drama, Romance",0
8,Garth Davis,118,"Biography, Drama",0
8.1,Pete Docter,100,"Animation, Adventure, Comedy",1
7.6,Zack Snyder,162,"Action, Drama, Mystery",0
8.4,Aamir Khan,165,"Drama, Family",1
8.4,Can Ulkay,125,"Biography, Drama, History",1
8.3,Alfred Hitchcock,128,"Mystery, Romance, Thriller",1
7.9,Clint Eastwood,141,"Action, Adventure, Drama",0
8.1,Peter Weir,128,"Comedy, Drama",1
7.7,Felix van Groeningen,111,"Drama, Music, Romance",0
8.4,Akira Kurosawa,143,"Crime, Drama, Mystery",1
8.1,Denis Villeneuve,153,"Crime, Drama, Mystery",1
7.6,David Cronenberg,100,"Action, Crime, Drama",0
7.8,Niels Arden Oplev,152,"Crime, Drama, Mystery",0
7.6,Brad Bird,118,"Animation, Action, Adventure",0
7.7,Jessie Nelson,132,Drama,0
8.1,Alan Parker,95,"Drama, Fantasy, Music",1
8.3,George Roy Hill,129,"Comedy, Crime, Drama",1
7.7,Ted Kotcheff,93,"Action, Adventure",0
8.1,Jim Sheridan,133,"Biography, Crime, Drama",1
7.9,Jon Favreau,126,"Action, Adventure, Sci-Fi",0
8,Thomas Vinterberg,105,Drama,0
8.1,Neeraj Pandey,104,"Action, Crime, Drama",1
7.6,Daniel Monzón,113,"Action, Adventure, Crime",0
7.6,Tom Tykwer,81,"Crime, Drama, Thriller",0
8.3,Akira Kurosawa,143,Drama,1
8.4,Makoto Shinkai,106,"Animation, Drama, Fantasy",1
7.8,James Cameron,194,"Drama, Romance",0
7.7,Alexander Payne,115,"Adventure, Comedy, Drama",0
8.3,Denis Villeneuve,131,"Drama, Mystery, War",1
7.7,Bernardo Bertolucci,163,"Biography, Drama, History",0
7.8,Paolo Genovese,96,"Comedy, Drama",0
7.9,Michael Haneke,127,"Drama, Romance",0
7.8,Roger Donaldson,127,"Biography, Drama, Sport",0
8,Morten Tyldum,114,"Biography, Drama, Thriller",0
8.1,Charles Chaplin,72,"Comedy, Romance",1
8.1,Rajkumar Hirani,144,"Comedy, Drama, Romance",1
8.4,Charles Chaplin,125,"Comedy, Drama, War",1
7.6,Hiromasa Yonebayashi,94,"Animation, Adventure, Family",0
8.3,Jeethu Joseph,160,"Crime, Drama, Thriller",1
7.6,Stephen Frears,98,"Biography, Comedy, Drama",0
7.8,Steven Spielberg,115,"Family, Sci-Fi",0
8.5,Charles Chaplin,87,"Comedy, Drama, Family",1
8.1,Andrei Tarkovsky,95,"Drama, War",1
7.8,Adam McKay,130,"Biography, Comedy, Drama",0
8,Sidney Lumet,125,"Biography, Crime, Drama",0
8.1,Anurag Basu,151,"Comedy, Drama, Romance",1
7.7,Taylor Sheridan,107,"Crime, Drama, Mystery",0
7.6,Steven Spielberg,142,"Drama, History, Thriller",0
7.8,Paul King,103,"Adventure, Comedy, Family",0
7.9,John Frankenheimer,126,"Drama, Thriller",0
7.7,Michael Mann,112,"Action, Adventure, Drama",0
8,Walter Salles,110,Drama,0
8.5,Sergio Leone,165,Western,1
7.7,Hayao Miyazaki,100,"Animation, Adventure, Family",0
8,Paul Greengrass,115,"Action, Mystery, Thriller",0
8.5,Isao Takahata,89,"Animation, Drama, War",1
7.7,Taylor Hackford,152,"Biography, Drama, Music",0
7.7,Sidney Lumet,130,"Biography, Crime, Drama",0
7.9,Paul Thomas Anderson,155,Drama,0
7.9,Woody Allen,96,"Comedy, Drama, Romance",0
8.3,Sergio Leone,132,Western,1
7.7,Joel Coen,115,"Crime, Drama, Thriller",0
8,Federico Fellini,174,"Comedy, Drama",0
7.6,Don Siegel,112,"Action, Biography, Crime",0
8.1,Peter Weir,103,"Comedy, Drama",1
8.1,Carol Reed,104,"Film-Noir, Mystery, Thriller",1
7.6,James Wan,103,"Horror, Mystery, Thriller",0
8,Norman Jewison,181,"Drama, Family, Musical",0
7.7,Matthew Vaughn,129,"Action, Adventure, Comedy",0
8,Henri-Georges Clouzot,117,"Crime, Drama, Horror",0
8.5,James Cameron,137,"Action, Sci-Fi",1
7.8,Asghar Farhadi,124,Drama,0
7.9,John Ford,119,"Adventure, Drama, Western",0
7.8,Mel Gibson,139,"Action, Adventure, Drama",0
8.1,David Lean,161,"Adventure, Drama, War",1
7.6,Gregg Araki,105,Drama,0
8.3,Stanley Kubrick,136,"Crime, Drama, Sci-Fi",1
7.6,Susanne Bier,118,"Drama, Romance",0
8.1,David Fincher,149,"Drama, Mystery, Thriller",1
8.2,Emir Kusturica,142,"Comedy, Crime, Drama",1
7.7,Joseph Sargent,104,"Action, Crime, Thriller",0
7.7,Alejandro Amenábar,119,"Drama, Mystery, Sci-Fi",0
8.1,Zoya Akhtar,155,"Comedy, Drama",1
7.7,John Huston,105,"Adventure, Drama, Romance",0
8.2,Priyadarshan,156,"Action, Comedy, Crime",1
8.4,Lee Unkrich,105,"Animation, Adventure, Family",1
8,Lars von Trier,140,"Crime, Drama, Musical",0
7.6,Spike Lee,135,Drama,0
7.8,David Fincher,158,"Crime, Drama, Mystery",0
8,William Wyler,170,"Drama, Romance, War",0
7.8,Arthur Penn,111,"Action, Biography, Crime",0
8,Joseph L. Mankiewicz,138,"Mystery, Thriller",0
7.8,Alfred Hitchcock,96,"Mystery, Thriller",0
8.1,Damián Szifron,122,"Comedy, Drama, Thriller",1
8,Robert Rossen,134,"Drama, Sport",0
8.1,Tom McCarthy,129,"Biography, Crime, Drama",1
8,Mamoru Oshii,83,"Animation, Action, Crime",0
8,Howard Hawks,141,"Action, Drama, Western",0
8.2,Stanley Kramer,179,"Drama, War",1
7.7,Anthony Russo,136,"Action, Adventure, Sci-Fi",0
7.7,Rich Moore,101,"Animation, Adventure, Comedy",0
7.7,Michael Radford,108,"Biography, Comedy, Drama",0
7.8,Asghar Farhadi,130,"Drama, Mystery",0
7.7,Shûsuke Kaneko,126,"Crime, Drama, Fantasy",0
8.4,Rajkumar Hirani,170,"Comedy, Drama",1
8,Peter Bogdanovich,118,"Drama, Romance",0
