Runtime,Genre,Director
113,"Drama, Horror, Sci-Fi",Danny Boyle
114,"Crime, Drama, Mystery",Ben Affleck
87,"Animation, Action, Drama",Hideaki Anno
106,"Comedy, Drama, Music",John Carney
146,"Adventure, Comedy, Drama",Vikas Bahl
135,"Drama, Romance",Greta Gerwig
86,"Drama, Music, Romance",John Carney
152,"Action, Crime, Drama",Christopher Nolan
100,"Crime, Drama, Mystery",James Foley
107,"Biography, Drama",Andrei Tarkovsky
123,"Drama, Music, Musical",Bob Fosse
93,"Action, Crime, Drama",Howard Hawks
238,"Drama, History, Romance",Victor Fleg
107,"Action, Comedy, Crime",Guy Ritchie
114,"Action, Crime, Drama",Raoul Walsh
112,"Biography, Drama",David Lynch
120,"Drama, Sport",John G. Avildsen
101,"Comedy, Drama",Jonathan Dayton
128,"Drama, Fantasy, Romance",Wim Wenders
82,"Comedy, Music",Rob Reiner
100,"Comedy, Drama, Romance",Michel Hazanavicius
102,"Action, Crime, Drama",David Mackenzie
170,"Crime, Drama, Thriller",Michael Mann
91,"Comedy, Crime",Alexander Mackendrick
106,"Crime, Drama, Mystery",Oriol Paulo
99,"Comedy, War",Ernst Lubitsch
126,"Biography, Drama",Alejandro Amenábar
136,"Biography, Drama, Music",James Mangold
108,"Animation, Adventure, Comedy",Byron Howard
95,Comedy,Stanley Kubrick
109,"Crime, Drama",Lukas Moodysson
137,"Drama, Horror",Roman Polanski
96,"Action, Comedy, Crime",Akira Kurosawa
169,"Drama, Music, Romance",Giuseppe Tornatore
108,"Biography, Drama, Family",Joe Johnston
133,"Action, Adventure, Comedy",John Landis
81,"Animation, Adventure, Comedy",John Lasseter
93,"Comedy, Family",Bob Clark
122,"Action, Crime, Drama",Andrew Niccol
125,"Animation, Family, Fantasy",James Algar
191,"Biography, Drama, History",Richard Attenborough
100,"Family, Fantasy, Musical",Mel Stuart
183,"Drama, War",Michael Cio
137,"Animation, Adventure, Drama",Isao Takahata
100,"Mystery, Sci-Fi, Thriller",Alex Proyas
149,"Adventure, Drama, Thriller",Wolfgang Petersen
115,"Animation, Action, Adventure",Brad Bird
120,"Biography, Drama, Thriller",Ben Affleck
83,"Animation, Family, Fantasy",Ron Clements
105,Drama,Robert Benton
102,"Action, Crime, Drama",Robert Clouse
93,Drama,Danny Boyle
88,"Drama, War",Stanley Kubrick
88,"Adventure, Comedy, Fantasy",Ruben Fleischer
137,"Action, Adventure, Sci-Fi",James Cameron
117,"Biography, Drama",Jean-Marc Vallée
84,"Action, Comedy, Fantasy",Sam Raimi
115,"Action, Adventure",Steven Spielberg
202,"Biography, Drama, History",Spike Lee
108,"Adventure, Comedy, Sci-Fi",Robert Zemeckis
178,"Crime, Drama",Lars von Trier
93,"Animation, Adventure, Drama",Tomm Moore
156,Drama,Martin Brest
